,company,,,,,pos,,,,,,,,,,,,,neg,,,,,,,,,,,,,succ,
Id,department,task,is_general,accept_opt,reject_opt,rev,env,cost,stak,a_1,a_2,a_3,b_1,b_2,b_3,c_1,c_2,c_3,rev,env,cost,stak,a_1,a_2,a_3,b_1,b_2,b_3,c_1,c_2,c_3,pos_succ,neg_succ
1,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{2:20,3:80}","{2:20,3:80}"
2,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{5:20,4:80}","{5:20,4:80}"
3,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{6:20,7:80}","{6:20,7:80}"
4,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{8:20,9:80}","{8:20,9:80}"
5,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{10:20,11:80}","{10:20,11:80}"
6,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{12:20,15:80}","{12:20,15:80}"
7,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
8,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
9,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
10,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
11,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
12,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
13,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
14,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
15,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
16,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
17,a,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
18,a,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
19,b,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
20,b,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
21,b,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
22,b,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
23,b,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
24,c,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
25,c,Text,TRUE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
26,c,Text,FALSE,Yes,No,1,2,1,1,1,1,1,1,1,1,1,1,1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,{},{}
